id,age,sex,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10
302,19,1,1,28,6,6,6,6,6,3,2,3,6,2,2
339,19,1,1,44,32,2,6,4,2,4,6,6,4,3,4
345,19,1,8,30,16,2,3,4,4,2,3,4,3,5,5
354,18,1,5,19,13,6,5,5,5,6,2,6,2,3,2
367,21,1,1,26,26,7,7,5,5,5,1,1,4,2,1
366,18,1,5,27,16,7,5,1,5,4,6,5,4,5,7
318,20,1,1,26,18,7,7,7,5,7,1,2,3,2,1
334,18,1,5,33,11,4,3,2,1,2,5,6,6,7,6
335,18,1,2,29,14,7,7,7,7,5,1,3,2,1,1
387,19,1,2,16,8,5,2,1,1,1,4,2,1,5,2
324,20,1,1,29,17,7,6,6,2,6,2,4,2,2,1
370,19,1,2,36,26,7,7,6,5,1,1,3,4,7,3
348,19,1,5,23,19,6,6,6,4,6,4,2,3,4,4
327,19,1,8,30,26,4,5,4,4,4,2,4,3,4,6
340,20,1,2,60,38,6,7,6,7,6,1,3,5,4,6
300,19,1,8,21,14,4,6,5,7,5,2,3,1,3,3
305,18,1,5,32,18,6,7,6,6,6,2,4,2,5,2
308,18,1,1,34,30,3,4,6,5,2,4,4,3,4,5
346,19,1,1,26,18,6,4,4,5,2,2,3,5,5,2
301,18,1,1,33,11,5,6,6,2,1,1,4,5,5,5
379,18,1,5,32,19,5,4,3,5,2,3,3,5,5,5
389,20,1,8,16,26,6,6,6,6,6,2,1,2,2,2
376,19,1,2,26,15,5,5,5,5,2,2,4,2,4,1
307,19,1,2,37,21,1,6,4,2,1,1,5,3,7,4
325,19,1,1,27,14,2,5,4,6,6,4,5,6,5,2
375,18,1,1,25,14,5,3,6,6,3,5,2,3,4,6
378,18,1,5,20,16,5,7,7,6,4,1,2,6,6,5
316,21,1,1,22,12,2,3,2,1,2,6,6,2,6,2
310,19,1,1,30,14,2,5,5,5,1,3,5,2,2,3
319,19,1,1,21,16,2,5,1,6,3,3,4,3,5,4
338,20,1,2,34,22,6,7,7,1,5,1,7,5,4,2
364,18,1,5,23,23,5,5,5,5,5,6,3,5,5,4
386,18,1,1,19,9,5,6,5,2,4,1,6,5,5,2
321,18,1,1,34,22,7,7,5,6,4,3,7,2,7,1
313,21,1,1,27,18,6,7,2,5,1,4,4,7,7,3
357,19,1,1,16,8,3,6,3,6,4,2,6,3,6,3
358,19,1,2,22,15,5,5,6,2,6,2,6,5,1,5
383,18,1,5,24,13,1,2,1,1,1,7,7,3,7,4
359,19,1,1,30,21,4,6,5,5,5,2,5,3,4,2
323,20,1,1,24,13,5,6,7,6,7,1,2,2,2,3
314,18,1,1,26,16,4,2,2,1,1,6,2,2,4,5
303,19,1,1,27,24,2,4,5,1,3,3,3,4,5,2
373,18,1,2,24,15,7,5,4,2,3,4,6,3,4,2
363,19,1,1,31,31,2,6,2,6,2,5,2,4,6,7
362,18,1,2,27,10,6,2,2,5,1,2,6,5,7,5
322,20,1,1,31,25,6,5,4,5,2,3,7,2,4,5
306,21,1,1,25,22,6,6,5,6,6,2,4,3,6,4
342,20,1,5,24,20,5,2,5,1,1,2,7,1,6,5
315,19,1,1,33,22,5,2,5,5,4,6,5,3,5,3
380,19,1,1,34,28,7,7,7,7,6,1,5,1,3,2
351,21,1,2,28,15,2,3,3,5,2,3,6,4,3,5
344,18,1,1,30,36,7,5,4,7,4,2,2,3,5,4
371,20,1,2,36,26,6,5,7,5,2,4,4,5,6,3
336,18,1,1,30,12,6,6,6,5,5,3,6,3,4,2
329,19,1,1,33,13,2,1,2,1,1,3,6,5,7,5
317,19,1,1,27,15,5,1,5,5,3,2,5,2,3,2
328,20,1,5,29,20,2,3,3,1,3,5,5,2,5,6
331,21,1,6,30,22,5,5,6,5,3,2,2,3,4,2
377,19,1,1,26,20,5,5,5,4,4,3,6,2,3,5
385,18,1,2,32,23,2,5,2,1,3,4,6,2,6,6
374,19,1,2,38,27,1,2,2,1,1,6,7,2,2,6
304,19,1,1,28,11,5,7,7,6,6,1,4,2,2,1
356,19,1,3,28,19,6,7,6,4,5,2,2,2,2,2
372,19,1,2,40,32,6,2,3,3,1,2,2,2,3,2
320,19,1,1,22,14,5,5,4,5,2,4,5,2,4,6
333,20,1,1,34,14,4,6,4,1,2,2,3,3,3,2
382,20,1,5,22,13,6,7,4,6,6,3,3,3,3,2
311,19,1,2,25,8,5,4,3,6,3,3,6,4,3,3
343,18,1,8,31,20,6,6,5,6,3,3,4,2,6,2
350,22,1,1,25,15,4,3,3,2,2,4,4,4,6,7
355,18,1,8,30,18,5,5,3,5,1,3,5,4,5,1
361,19,1,1,30,23,7,6,6,3,7,1,2,5,5,3
384,19,1,1,28,13,6,3,1,4,3,4,7,6,4,3
